cataloged_item_type,lastdate,lastuser,collection_object_id,enteredby,entereddate,cat_num,accn_id,institution_acronym,collection_cde,collection_id,collection,minimum_elevation,maximum_elevation,orig_elev_units,identification_id,individualcount,collectors,preparators,field_num,othercatalognumbers,genbanknum,relatedcatalogeditems,typestatus,sex,parts,partdetail,accession,began_date,ended_date,verbatim_date,collecting_event_id,higher_geog,continent_ocean,country,state_prov,county,sea,geog_auth_rec_id,spec_locality,min_elev_in_m,max_elev_in_m,locality_id,dec_lat,dec_long,datum,orig_lat_long_units,verbatim_coordinates,coordinateuncertaintyinmeters,scientific_name,identifiedby,made_date,remarks,habitat,associated_species,encumbrances,taxa_formula,full_taxon_name,phylclass,kingdom,phylum,phylorder,family,subfamily,tribe,subtribe,genus,species,subspecies,infraspecific_rank,author_text,nomenclatural_code,guid,depth_units,min_depth,max_depth,min_depth_in_m,max_depth_in_m,collecting_method,collecting_source,verificationstatus,imageurl,catalognumbertext,relatedinformation,collectornumber,verbatimelevation,year,month,day,id_sensu,verbatim_locality,event_assigned_by_agent,event_assigned_date,specimen_event_remark,specimen_event_type,coll_event_remarks,collecting_event_name,georeference_source,georeference_protocol,locality_name,previousidentifications,use_license_url,identification_remarks,locality_remarks,formatted_scientific_name,ispublished,has_tissues,taxon_rank,locality_search_terms,json_locality,attributedetail,guid_prefix,catalognumberint,lastpartlocation,organism_id,superfamily,suborder,media,creator,subject,materials,copyright_holder,culture_of_origin,culture_of_use,formation,member,event_count,locality_count,age,identifiers,superorder,preparatornumber,af,nk,specimen_event_id,scientificnameid,related_record_cache,detected,examined_for,not_detected,not_examined_for,ear_from_notch,hind_foot_with_claw,tail_length,total_length,weight,reproductive_data,doi,collection_preferred_identifiers,public_accn_id,rights,citations,media_tags,collector_agents
PreservedSpecimen,2024-08-14 23:50:00.019858,arctosprod,29356430,Encumbered,2020-07-24 15:48:01.00818,16811,21125683,BYU,Mamm,230,Mammal specimens,1860,1860,m,14784904,,Duke S. Rogers,Duke S. Rogers,,preparator number 4574,,,,male,,,41,1995-06-04,1995-06-04,4-Jun-95,11639564,"United States, Utah, Uintah County",,United States,Utah,Uintah County,,1283,"Bitter Creek Canyon, 39 40' 05"" N, 109 14' W, 1860 m",1860,1860,11190620,39.66805,-109.2333,World Geodetic System 1984,decimal degrees,39.66805/-109.2333,333,Peromyscus maniculatus,Duke S. Rogers,1995-06-04,,,,,A,"Animalia, Chordata, Mammalia, Rodentia, Myomorpha, Cricetidae, Neotominae, Peromyscus, Peromyscus maniculatus",Mammalia,Animalia,Chordata,Rodentia,Cricetidae,Neotominae,,,Peromyscus,Peromyscus maniculatus,,,,ICZN,BYU:Mamm:16811,,,,,,,wild,,,16811,"<a href=""http://arctos.database.museum/guid/BYU:Mamm:16811"">BYU:Mamm:16811</a>",,1860-1860 m,1995,6,4,,"Bitter Creek Canyon, 39 40' 05"" N, 109 14' W, 1860 m, Utah",Duke S. Rogers,2016-06-22 00:00:00,,collection,,,Google Earth,not recorded,,"[{""idby"": ""Duke S. Rogers"", ""made_date"": ""1995-06-04"", ""concept_label"": null, ""short_citation"": null, ""scientific_name"": ""Peromyscus maniculatus"", ""sensu_publication"": null, ""identification_taxa"": [{""taxon"": {""ftn"": ""Animalia, Chordata, Mammalia, Rodentia, Myomorpha, Cricetidae, Neotominae, Peromyscus, Peromyscus maniculatus"", ""name"": ""Peromyscus maniculatus"", ""ctrms"": [{""psn"": 1, ""typ"": ""kingdom"", ""term"": ""Animalia""}, {""psn"": 2, ""typ"": ""phylum"", ""term"": ""Chordata""}, {""psn"": 3, ""typ"": ""class"", ""term"": ""Mammalia""}, {""psn"": 4, ""typ"": ""order"", ""term"": ""Rodentia""}, {""psn"": 5, ""typ"": ""suborder"", ""term"": ""Myomorpha""}, {""psn"": 6, ""typ"": ""family"", ""term"": ""Cricetidae""}, {""psn"": 7, ""typ"": ""subfamily"", ""term"": ""Neotominae""}, {""psn"": 8, ""typ"": ""genus"", ""term"": ""Peromyscus""}, {""psn"": 9, ""typ"": ""species"", ""term"": ""Peromyscus maniculatus""}], ""nctrms"": [{""typ"": ""nomenclatural_code"", ""term"": ""ICZN""}, {""typ"": ""scientific_name"", ""term"": ""Peromyscus maniculatus""}, {""typ"": ""source_authority"", ""term"": ""Museum of Vertebrate Zoology""}, {""typ"": ""taxon_status"", ""term"": ""valid""}], ""source"": ""Arctos"", ""classification_id"": ""https://arctos.database.museum/name/Peromyscus maniculatus#Arctos""}, ""taxon_id"": ""https://arctos.database.museum/name/Peromyscus maniculatus"", ""variable"": ""A""}], ""identification_order"": 1, ""identification_agents"": [{""agent_name"": ""Duke S. Rogers"", ""agent_identifier"": ""https://arctos.database.museum/agent/10010197"", ""identifier_order"": 1}], ""identification_remarks"": null, ""identification_attributes"": [{""agent_name"": null, ""attribute_type"": ""nature of identification"", ""attribute_units"": null, ""attribute_value"": ""features"", ""determined_date"": null, ""agent_identifier"": null, ""attribute_remark"": null, ""determination_method"": null}]}]",http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc-sa/3.0,,,"",0,0,species,"미국, Amerika Birleşik Devletleri, Amerikai Egyesült Államok, Amerika Serikat, Bitter Creek Canyon, 39 40' 05"" N, 109 14' W, 1860 m, Bitter Creek Canyon, 39 40' 05"" N, 109 14' W, 1860 m, Utah, Estados Unidos, États-Unis, Google Earth, Hoa Kỳ, North America, Stany Zjednoczone, Stati Uniti d'America, Uintah County, United States, United States of America, United States, Utah, Uintah County, US1, USA, U.S.A., Utah, Verenigde Staten van Amerika, ایالات متحده آمریکا, ریاستہائے متحدہ امریکا, ארצות הברית, Ηνωμένες Πολιτείες Αμερικής, Сполучені Штати Америки, США, संयुक्त राज्य अमेरिका, アメリカ合衆国, 美国, 美國","[{""datum"": ""World Geodetic System 1984"", ""depth"": null, ""habitat"": null, ""elevation"": ""1860-1860 m"", ""began_date"": ""1995-06-04"", ""ended_date"": ""1995-06-04"", ""coordinates"": ""39.6680500000,-109.2333000000"", ""higher_geog"": ""United States, Utah, Uintah County"", ""locality_id"": 11190620, ""assigned_date"": ""2016-06-22"", ""locality_name"": null, ""spec_locality"": ""Bitter Creek Canyon, 39 40' 05\"" N, 109 14' W, 1860 m"", ""verbatim_date"": ""4-Jun-95"", ""verified_date"": null, ""assigned_agent"": ""Duke S. Rogers"", ""verified_agent"": null, ""max_error_units"": ""m"", ""coordinate_error"": ""333 m"", ""event_attributes"": null, ""geog_auth_rec_id"": 1283, ""collecting_method"": null, ""collecting_source"": ""wild"", ""specimen_event_id"": 4805566, ""verbatim_locality"": ""Bitter Creek Canyon, 39 40' 05\"" N, 109 14' W, 1860 m, Utah"", ""max_error_distance"": 333, ""verificationstatus"": null, ""locality_attributes"": [{""attribute_date"": null, ""attribute_type"": ""georeference source"", ""attribute_units"": null, ""attribute_value"": ""Google Earth"", ""attribute_method"": null, ""attribute_remark"": null, ""attribute_determiner"": null}], ""specimen_event_type"": ""collection"", ""georeference_protocol"": ""not recorded""}]","[{""attribute_date"": ""1995-06-04"", ""attribute_type"": ""sex"", ""attribute_units"": null, ""attribute_value"": ""male"", ""attribute_method"": null, ""attribute_remark"": null, ""attribute_determiner"": ""Duke S. Rogers""}]",BYU:Mamm,16811,,,,Myomorpha,,,,,,,,,,1,1,,"[{""remarks"": null, ""issued_by"": null, ""identifier"": ""4574"", ""assigned_by"": ""unknown"", ""assigned_date"": ""2022-04-27"", ""identifier_type"": ""preparator number""}]",,4574,,,4805566,,,,,,,,,,,,,,,,"{""terms"": {""uri"": ""http://arctosdb.org/home/data/"", ""display"": ""Arctos Data Ownership and Use"", ""description"": ""General Arctos statement on ownership and use of data.""}, ""license"": {""uri"": ""http://creativecommons.org/licenses/by-nc-sa/3.0"", ""display"": ""CC BY-NC-SA"", ""description"": ""Attribution-NonCommercial-ShareAlike 3.0 Unported (CC BY-NC-SA 3.0)""}, ""loan_policy"": ""https://lsm.byu.edu/policies-and-loans""}",,,"[{""agent_name"": ""Duke S. Rogers"", ""agent_role"": ""preparator"", ""agent_order"": 1, ""agent_identifier"": ""https://arctos.database.museum/agent/10010197""}, {""agent_name"": ""Duke S. Rogers"", ""agent_role"": ""collector"", ""agent_order"": 2, ""agent_identifier"": ""https://arctos.database.museum/agent/10010197""}]"
PreservedSpecimen,2024-08-14 23:50:00.019858,arctosprod,29251777,Encumbered,2020-06-29 20:18:00.006607,13240,21107889,CHAS,Herp,154,Amphibian and reptile specimens,,,,14735461,,W. F. Ross,,,UUID 16b65085-89cc-4c6e-831c-5c719eb88fe6,,,,,"whole organism (ethanol, 70%)","[{""partID"": ""https://arctos.database.museum/guid/CHAS:Herp:13240/PID29251778"", ""condition"": ""unchecked"", ""part_name"": ""whole organism"", ""part_count"": 1, ""disposition"": ""in collection"", ""part_remark"": null, ""parentPartID"": null, ""part_barcode"": null, ""container_path"": null, ""part_attributes"": [{""attribute_date"": ""2019-02-22"", ""attribute_type"": ""location"", ""attribute_units"": null, ""attribute_value"": ""Reebie: Locker 302A: Unit 8: Shelf F"", ""attribute_method"": null, ""attribute_remark"": ""Stored in jar with CHAS 9191-3, 13234-43, 13271-82, 13337-41, 14162-89, 14664-77, 14718-20,16687-90, 16777-88, 17451, 17487-8; oversize"", ""attribute_determiner"": ""John Archer"", ""attribute_determiner_id"": ""https://arctos.database.museum/agent/21297037""}, {""attribute_date"": ""2021-07-01"", ""attribute_type"": ""preservation"", ""attribute_units"": null, ""attribute_value"": ""ethanol, 70%"", ""attribute_method"": null, ""attribute_remark"": ""Added from original part whole organism (70% ethanol)."", ""attribute_determiner"": null, ""attribute_determiner_id"": ""https://arctos.database.museum/agent/""}]}]",4977,1945-06-20,1945-06-26,20-26 Jun 1945,11603119,"United States, Tennessee, Dickson County",,United States,Tennessee,Dickson County,,10005934,2 mi E of Charlotte,,,11155352,,,,,,,Nerodia sipedon pleuralis,unknown,,"INTERNAL NOTES: Received from W. F. ""Bill"" Ross. DATA HISTORY: Accession number listed in inventory spreadsheet prior to 2020 Arctos migration. Inventory catalogued/verified by Tom Anton (2009). Record last updated in Excel (prior to Arctos migration) by John Archer (2019-02-22). Recorded in FileMaker database 1990-10-08.",,,,A,"Animalia, Chordata, Reptilia, Squamata, Serpentes, Colubridae, Natricinae, Nerodia, Nerodia sipedon, Nerodia sipedon pleuralis",Reptilia,Animalia,Chordata,Squamata,Colubridae,Natricinae,,,Nerodia,Nerodia sipedon,Nerodia sipedon pleuralis,,,ICZN,CHAS:Herp:13240,,,,,,,wild,,,13240,"<a href=""http://arctos.database.museum/guid/CHAS:Herp:13240"">CHAS:Herp:13240</a>",,,1945,6,,,2 mi E of Charlotte,W. F. Ross,1945-06-26 00:00:00,,collection,,,,,,"[{""idby"": ""unknown"", ""made_date"": null, ""concept_label"": null, ""short_citation"": null, ""scientific_name"": ""Nerodia sipedon pleuralis"", ""sensu_publication"": null, ""identification_taxa"": [{""taxon"": {""ftn"": ""Animalia, Chordata, Reptilia, Squamata, Serpentes, Colubridae, Natricinae, Nerodia, Nerodia sipedon, Nerodia sipedon pleuralis"", ""name"": ""Nerodia sipedon pleuralis"", ""ctrms"": [{""psn"": 1, ""typ"": ""kingdom"", ""term"": ""Animalia""}, {""psn"": 2, ""typ"": ""phylum"", ""term"": ""Chordata""}, {""psn"": 3, ""typ"": ""class"", ""term"": ""Reptilia""}, {""psn"": 4, ""typ"": ""order"", ""term"": ""Squamata""}, {""psn"": 5, ""typ"": ""suborder"", ""term"": ""Serpentes""}, {""psn"": 6, ""typ"": ""family"", ""term"": ""Colubridae""}, {""psn"": 7, ""typ"": ""subfamily"", ""term"": ""Natricinae""}, {""psn"": 8, ""typ"": ""genus"", ""term"": ""Nerodia""}, {""psn"": 9, ""typ"": ""species"", ""term"": ""Nerodia sipedon""}, {""psn"": 10, ""typ"": ""subspecies"", ""term"": ""Nerodia sipedon pleuralis""}], ""nctrms"": [{""typ"": ""display_name"", ""term"": ""<i>Nerodia sipedon pleuralis</i>""}, {""typ"": ""nomenclatural_code"", ""term"": ""ICZN""}, {""typ"": ""remark"", ""term"": ""Imported from ITIS 6 Feb 2007""}, {""typ"": ""scientific_name"", ""term"": ""Nerodia sipedon pleuralis""}, {""typ"": ""source_authority"", ""term"": ""ITIS""}, {""typ"": ""taxon_status"", ""term"": ""valid""}], ""source"": ""Arctos"", ""classification_id"": ""https://arctos.database.museum/name/Nerodia sipedon pleuralis#Arctos""}, ""taxon_id"": ""https://arctos.database.museum/name/Nerodia sipedon pleuralis"", ""variable"": ""A""}], ""identification_order"": 1, ""identification_agents"": [{""agent_name"": ""unknown"", ""agent_identifier"": ""https://arctos.database.museum/agent/0"", ""identifier_order"": 1}], ""identification_remarks"": ""Midland Water Snake."", ""identification_attributes"": null}, {""idby"": ""unknown"", ""made_date"": """", ""concept_label"": null, ""short_citation"": null, ""scientific_name"": ""Natrix sipedon pleuralis"", ""sensu_publication"": null, ""identification_taxa"": [{""taxon"": {""ftn"": ""Natrix, Natrix sipedon, Natrix sipedon pleuralis"", ""name"": ""Natrix sipedon pleuralis"", ""ctrms"": [{""psn"": 1, ""typ"": ""genus"", ""term"": ""Natrix""}, {""psn"": 2, ""typ"": ""species"", ""term"": ""Natrix sipedon""}, {""psn"": 3, ""typ"": ""subspecies"", ""term"": ""Natrix sipedon pleuralis""}], ""nctrms"": [{""typ"": ""display_name"", ""term"": ""<i>Natrix sipedon pleuralis</i>""}, {""typ"": ""nomenclatural_code"", ""term"": ""ICZN""}, {""typ"": ""remark"", ""term"": ""Imported from ITIS 6 Feb 2007""}, {""typ"": ""remark"", ""term"": ""nomenclatural_code updated from unknown based on GlobalNames classification data""}, {""typ"": ""scientific_name"", ""term"": ""Natrix sipedon pleuralis""}, {""typ"": ""source_authority"", ""term"": ""ITIS""}, {""typ"": ""taxon_status"", ""term"": ""valid""}], ""source"": ""Arctos"", ""classification_id"": ""https://arctos.database.museum/name/Natrix sipedon pleuralis#Arctos""}, ""taxon_id"": ""https://arctos.database.museum/name/Natrix sipedon pleuralis"", ""variable"": ""A""}], ""identification_order"": 0, ""identification_agents"": [{""agent_name"": ""unknown"", ""agent_identifier"": ""https://arctos.database.museum/agent/0"", ""identifier_order"": 1}], ""identification_remarks"": ""Previous identification per 2008-2012 inventory spreadsheet and FileMaker Pro database record."", ""identification_attributes"": [{""agent_name"": null, ""attribute_type"": ""identification confidence"", ""attribute_units"": null, ""attribute_value"": """", ""determined_date"": null, ""agent_identifier"": null, ""attribute_remark"": null, ""determination_method"": null}]}, {""idby"": ""unknown"", ""made_date"": """", ""concept_label"": null, ""short_citation"": null, ""scientific_name"": ""Nerodia sipedon pleuralis"", ""sensu_publication"": null, ""identification_taxa"": [{""taxon"": {""ftn"": ""Animalia, Chordata, Reptilia, Squamata, Serpentes, Colubridae, Natricinae, Nerodia, Nerodia sipedon, Nerodia sipedon pleuralis"", ""name"": ""Nerodia sipedon pleuralis"", ""ctrms"": [{""psn"": 1, ""typ"": ""kingdom"", ""term"": ""Animalia""}, {""psn"": 2, ""typ"": ""phylum"", ""term"": ""Chordata""}, {""psn"": 3, ""typ"": ""class"", ""term"": ""Reptilia""}, {""psn"": 4, ""typ"": ""order"", ""term"": ""Squamata""}, {""psn"": 5, ""typ"": ""suborder"", ""term"": ""Serpentes""}, {""psn"": 6, ""typ"": ""family"", ""term"": ""Colubridae""}, {""psn"": 7, ""typ"": ""subfamily"", ""term"": ""Natricinae""}, {""psn"": 8, ""typ"": ""genus"", ""term"": ""Nerodia""}, {""psn"": 9, ""typ"": ""species"", ""term"": ""Nerodia sipedon""}, {""psn"": 10, ""typ"": ""subspecies"", ""term"": ""Nerodia sipedon pleuralis""}], ""nctrms"": [{""typ"": ""display_name"", ""term"": ""<i>Nerodia sipedon pleuralis</i>""}, {""typ"": ""nomenclatural_code"", ""term"": ""ICZN""}, {""typ"": ""remark"", ""term"": ""Imported from ITIS 6 Feb 2007""}, {""typ"": ""scientific_name"", ""term"": ""Nerodia sipedon pleuralis""}, {""typ"": ""source_authority"", ""term"": ""ITIS""}, {""typ"": ""taxon_status"", ""term"": ""valid""}], ""source"": ""Arctos"", ""classification_id"": ""https://arctos.database.museum/name/Nerodia sipedon pleuralis#Arctos""}, ""taxon_id"": ""https://arctos.database.museum/name/Nerodia sipedon pleuralis"", ""variable"": ""A""}], ""identification_order"": 0, ""identification_agents"": [{""agent_name"": ""unknown"", ""agent_identifier"": ""https://arctos.database.museum/agent/0"", ""identifier_order"": 1}], ""identification_remarks"": ""Identification per FileMaker Pro database record."", ""identification_attributes"": [{""agent_name"": null, ""attribute_type"": ""identification confidence"", ""attribute_units"": null, ""attribute_value"": """", ""determined_date"": null, ""agent_identifier"": null, ""attribute_remark"": null, ""determination_method"": null}]}]",http://arctosdb.org/home/data/; http://creativecommons.org/publicdomain/zero/1.0/,Midland Water Snake.,,<i>Nerodia sipedon pleuralis</i>,0,0,subspecies,"미국, 2 mi E of Charlotte, Amerika Birleşik Devletleri, Amerikai Egyesült Államok, Amerika Serikat, Dickson County, Estados Unidos, États-Unis, Hoa Kỳ, North America, Stany Zjednoczone, Stati Uniti d'America, Tennessee, United States, United States of America, United States, Tennessee, Dickson County, US1, USA, U.S.A., Verenigde Staten van Amerika, ایالات متحده آمریکا, ریاستہائے متحدہ امریکا, ארצות הברית, Ηνωμένες Πολιτείες Αμερικής, Сполучені Штати Америки, США, संयुक्त राज्य अमेरिका, アメリカ合衆国, 美国, 美國","[{""datum"": null, ""depth"": null, ""habitat"": null, ""elevation"": null, ""began_date"": ""1945-06-20"", ""ended_date"": ""1945-06-26"", ""coordinates"": null, ""higher_geog"": ""United States, Tennessee, Dickson County"", ""locality_id"": 11155352, ""assigned_date"": ""1945-06-26"", ""locality_name"": null, ""spec_locality"": ""2 mi E of Charlotte"", ""verbatim_date"": ""20-26 Jun 1945"", ""verified_date"": null, ""assigned_agent"": ""W. F. Ross"", ""verified_agent"": null, ""max_error_units"": null, ""coordinate_error"": null, ""event_attributes"": null, ""geog_auth_rec_id"": 10005934, ""collecting_method"": null, ""collecting_source"": ""wild"", ""specimen_event_id"": 4773679, ""verbatim_locality"": ""2 mi E of Charlotte"", ""max_error_distance"": null, ""verificationstatus"": null, ""locality_attributes"": null, ""specimen_event_type"": ""collection"", ""georeference_protocol"": null}]","[{""attribute_date"": ""2012-12-31"", ""attribute_type"": ""verbatim agent"", ""attribute_units"": null, ""attribute_value"": ""W. F. \""Bill\"" Ross"", ""attribute_method"": ""unspecified collector role"", ""attribute_remark"": ""presumed transcribed from catalog book record during 2008-2012 inventory or 1987-1999 Filemaker databasing [achinn 19 June 2020]"", ""attribute_determiner"": ""unknown""}]",CHAS:Herp,,,,,Serpentes,,,,,,,,,,1,1,,"[{""remarks"": null, ""issued_by"": null, ""identifier"": ""16b65085-89cc-4c6e-831c-5c719eb88fe6"", ""assigned_by"": ""unknown"", ""assigned_date"": ""2022-04-27"", ""identifier_type"": ""UUID""}]",,,,,4773679,,,,,,,,,,,,,,,,"{""terms"": {""uri"": ""http://arctosdb.org/home/data/"", ""display"": ""Arctos Data Ownership and Use"", ""description"": ""General Arctos statement on ownership and use of data.""}, ""license"": {""uri"": ""http://creativecommons.org/publicdomain/zero/1.0/"", ""display"": ""CC0"", ""description"": ""Public Domain (CC0 1.0)""}, ""loan_policy"": ""https://web.corral.tacc.utexas.edu/arctos/CHAS/documentation/chas-loan-policy-cmp-2023-revision.pdf""}",,,"[{""agent_name"": ""W. F. Ross"", ""agent_role"": ""collector"", ""agent_order"": 1, ""agent_identifier"": ""https://arctos.database.museum/agent/21296538""}]"
