guid_prefix,type
UAM:EH,cultural
UAM:Ento,biological
UAM:Env,geological
UAM:ES,geological
UAM:Fish,biological
UAM:Herb,biological
UAM:HerbLib,biological
UAM:Herp,biological
UAM:Inv,biological
UAM:Mamm,biological
UAM:Myco,biological
UAMb:Herb,biological
UAMObs:Art,cultural
UAMObs:Bird,biological
UAMObs:EH,cultural
UAMObs:Ento,biological
UAMObs:Fish,biological
UAMObs:Mamm,biological
UCM:Bird,biological
UCM:Egg,biological
UCM:Ento,biological
UCM:Fish,biological
UCM:FossilEgg,biological
UCM:FossilTrack,biological
UCM:FossilVert,biological
UCM:Herp,biological
UCM:Inv,biological
UCM:IP,biological
UCM:Mamm,biological
UCM:Obs,biological
UCM:Para,biological
UCM:PB,biological
UCONN:Bird,biological
UCONN:Egg,biological
UCSC:Bird,biological
UCSC:Fish,biological
UCSC:Herp,biological
UCSC:Mamm,biological
UMNH:Bird,biological
UMNH:Ento,biological
UMNH:Herp,biological
UMNH:Host,biological
UMNH:Mala,biological
UMNH:Mamm,biological
UMNH:Para,biological
UMNH:Teach,biological
UMNHObs:Mamm,biological
UMZM:Bird,biological
UMZM:Egg,biological
UMZM:Mamm,biological
UMZM:Para,biological
UNCG:Mamm,biological
UNCG:Para,biological
UNM:Geol,geological
UNM:MET,geological
UNM:Paleo,biological
UNR:Bird,biological
UNR:Egg,biological
UNR:Fish,biological
UNR:Herp,biological
UNR:Mamm,biological
UNR:Teach,biological
USNPC:Para,biological
UTEP:Arc,cultural
UTEP:Bird,biological
UTEP:Ento,biological
UTEP:ES,geological
UTEP:Fish,biological
UTEP:Herb,biological
UTEP:Herp,biological
UTEP:HerpOS,biological
UTEP:Inv,biological
UTEP:Mamm,biological
UTEP:Teach,biological
UTEP:Zoo,biological
UTEPObs:Bird,biological
UTEPObs:Ento,biological
UTEPObs:Herb,biological
UTEPObs:Herp,biological
UWBM:Herp,biological
UWBM:IP,biological
UWBM:Mamm,biological
UWBM:MET,geological
UWBM:MINERAL,geological
UWBM:PaleoArchive,biological
UWBM:PB,biological
UWBM:PR,biological
UWBM:VP,biological
UWYMV:Bird,biological
UWYMV:Egg,biological
UWYMV:Fish,biological
UWYMV:Herp,biological
UWYMV:Mamm,biological
UWZM:Bird,biological
UWZM:EH,cultural
UWZM:Fish,biological
UWZM:Herp,biological
UWZM:Inv,biological
UWZM:Mamm,biological
UWZM:Osteo,biological
UWZM:Paleo,biological
UWZM:Teach,biological
WNMU:Bird,biological
WNMU:Fish,biological
WNMU:Mamm,biological
